datetime,event,value,baseline,astronaut
2017-05-03 10:53:06.774593,baseline_humidity,39.919577026367186,40.04794692993164,False
2017-05-03 10:53:06.778360,find_astronaut,39.799373626708984,39.919577026367186,False
2017-05-03 10:53:25.335162,find_astronaut,40.014556884765625,39.919577026367186,False
2017-05-03 10:53:45.865168,find_astronaut,39.85502243041992,39.919577026367186,False
2017-05-03 10:54:06.017074,find_astronaut,39.76598358154297,39.919577026367186,False
2017-05-03 10:54:42.235102,find_astronaut,39.71404266357422,39.919577026367186,False
2017-05-03 10:55:02.214212,find_astronaut,39.56935119628906,39.919577026367186,False
2017-05-03 10:55:32.755115,find_astronaut,39.46546936035156,39.919577026367186,False
2017-05-03 10:55:50.432923,find_astronaut,39.63241958618164,39.919577026367186,False
2017-05-03 10:56:17.155587,find_astronaut,39.46917724609375,39.919577026367186,False
